image_name,MOS_predicted_score
5275524338.jpg,3.5366096
10283619534.jpg,3.6061027
6222668667.jpg,3.6120663
8253601805.jpg,3.1291192
8709304294.jpg,2.2758467
5036806312.jpg,2.414122
4231049527.jpg,2.8113904
9198779264.jpg,2.500482
3347823880.jpg,3.4696035
9021392547.jpg,2.5757985
10602786066.jpg,2.120517
8403312891.jpg,2.5313256
2815247737.jpg,2.343286
2215981576.jpg,2.9601736
3025565947.jpg,3.6493924
8529490962.jpg,3.240193
6743243667.jpg,3.6656828
6800703361.jpg,3.1291013
4770124841.jpg,3.316312
58449294.jpg,2.8771832
1565882132.jpg,2.7552795
3166870228.jpg,1.92419
8418843841.jpg,3.2417142
7989520325.jpg,2.9860313
7337709978.jpg,3.2783728
2725531293.jpg,2.733341
3736418288.jpg,2.7331886
3597199001.jpg,3.3626854
4141916319.jpg,3.4396722
6873701210.jpg,3.240861
5022993325.jpg,3.544419
8115433304.jpg,2.8367624
2317296071.jpg,2.2710335
6063249330.jpg,3.0131
5886709832.jpg,3.2064104
8179500414.jpg,3.5064645
5250708423.jpg,2.1358857
9528230846.jpg,3.4992366
10628497685.jpg,3.0836465
8100293037.jpg,3.370093
10619909515.jpg,3.0361352
8275793121.jpg,3.1641333
5583866722.jpg,2.4781513
3022463774.jpg,3.4414206
5069309990.jpg,2.0458412
10728525673.jpg,3.5790071
8693865711.jpg,3.650228
7676832810.jpg,3.2855108
9336450850.jpg,3.8561156
6443379565.jpg,3.3674169
9712051180.jpg,3.2841032
10463583515.jpg,3.5305989
9805144264.jpg,3.156201
6407770545.jpg,3.2658565
7316131560.jpg,3.5716245
5949374499.jpg,3.7280653
6408708033.jpg,2.7976706
7276446104.jpg,3.3054922
6106478357.jpg,2.945341
5025588176.jpg,3.5007298
2618038580.jpg,2.6041007
516771790.jpg,2.6930418
7013076503.jpg,3.2887342
7749694370.jpg,3.4673853
8299281180.jpg,3.5875547
5763573511.jpg,2.781386
5051600612.jpg,3.0754273
5786557550.jpg,3.44522
316618516.jpg,2.1641216
503291895.jpg,3.1937187
5228772358.jpg,3.454148
3932630945.jpg,3.2083936
11054638863.jpg,3.23424
8660939599.jpg,3.7341
8948115296.jpg,2.8776317
3485554199.jpg,2.6284814
4499122119.jpg,2.3049963
5142063764.jpg,2.3837008
2952066894.jpg,3.255742
5457535055.jpg,3.485893
4941443673.jpg,3.3249676
4706726398.jpg,2.720262
11378848184.jpg,3.1390812
5359274053.jpg,2.1033027
2593384818.jpg,2.2884529
5835525141.jpg,3.59433
6849557935.jpg,1.9189938
4947572555.jpg,3.5159156
3073780494.jpg,3.0128727
4130373740.jpg,2.9924073
6396984107.jpg,3.4342747
6173003449.jpg,3.6769812
5569876905.jpg,2.9214475
7413044200.jpg,3.7392375
4781142781.jpg,3.0456798
3779311128.jpg,2.942114
11260385706.jpg,3.5148988
333145920.jpg,3.2201567
7202630536.jpg,3.3945901
3761272199.jpg,3.4530382
2365109175.jpg,3.3103836
5478338919.jpg,3.5931756
8401142586.jpg,3.4986217
6194409059.jpg,3.6790853
2199234449.jpg,2.6298864
7640299878.jpg,3.062304
7772663024.jpg,3.059544
5842712003.jpg,3.4354038
4857542718.jpg,3.5064561
9331151234.jpg,3.4316516
10207172624.jpg,3.557251
10849117054.jpg,2.990043
9710823281.jpg,3.063449
8174015928.jpg,2.481958
3673357278.jpg,3.312168
10961758274.jpg,3.5941277
4805041131.jpg,3.092186
3475877294.jpg,1.9762721
6555285779.jpg,2.7455857
8468743988.jpg,3.6317034
5630751358.jpg,3.7949958
9802094923.jpg,1.6897141
5540702638.jpg,3.4411275
8270913623.jpg,3.249225
8428991513.jpg,2.4157643
8630845484.jpg,2.6985016
4278181256.jpg,2.851411
7819666996.jpg,3.7256882
6015806731.jpg,3.4648976
4407839974.jpg,3.2566183
1562015932.jpg,2.8953245
356525836.jpg,3.5272224
9216910965.jpg,3.4703364
6026326925.jpg,3.2122264
7793934458.jpg,3.3849206
4883254364.jpg,3.4712918
5847946773.jpg,2.573533
198187235.jpg,2.7463164
9686480737.jpg,2.0536032
4732322374.jpg,3.6960669
8941443262.jpg,3.2206323
6071037995.jpg,1.8930128
9109271301.jpg,3.390854
7399670298.jpg,2.5860424
6708577729.jpg,3.2880576
9496541245.jpg,3.1599448
3993808694.jpg,2.4095564
8021464988.jpg,3.4678712
143899204.jpg,2.817264
7186783534.jpg,2.8750334
6641523883.jpg,3.1471615
3742811862.jpg,2.5031204
3248930020.jpg,3.0287027
8999325582.jpg,3.423761
8532727626.jpg,3.437615
8608242752.jpg,3.6997826
3847965007.jpg,2.5674129
8641533130.jpg,3.2736025
8137649050.jpg,3.5006707
6843523713.jpg,2.7339165
9472868070.jpg,3.1562622
8376951271.jpg,3.5852017
9596892460.jpg,3.6344588
11219420725.jpg,3.6512208
411787882.jpg,3.1513817
4770545465.jpg,3.6451046
3825250471.jpg,3.6575758
9941646054.jpg,3.1144974
4595899816.jpg,3.5892189
9692018769.jpg,2.3963752
1572596360.jpg,3.0162122
6493347009.jpg,3.3775473
6018448805.jpg,2.882745
2643679552.jpg,3.6243544
9618361879.jpg,3.3866
7057320569.jpg,3.293221
356523006.jpg,3.360944
8203037764.jpg,3.3292685
7316593310.jpg,3.600092
8600750192.jpg,2.1803703
6568691361.jpg,3.3439538
4655744443.jpg,3.332299
3688594216.jpg,2.881852
5879690252.jpg,3.4428618
6080905239.jpg,3.871482
8530273249.jpg,2.9529335
9221345159.jpg,3.0967782
5466371904.jpg,3.840964
7192279956.jpg,3.2648795
7131604965.jpg,2.883266
4373225530.jpg,3.42367
10517436165.jpg,2.3781586
8130745750.jpg,3.005107
5780360656.jpg,3.5516832
2992631389.jpg,3.2901967
3230042702.jpg,3.143407
10397166423.jpg,3.5257204
2800092805.jpg,2.5323963
5804399322.jpg,3.64318
4995119944.jpg,3.686478
5675336678.jpg,3.4058788
3146477274.jpg,2.6692142
18438855.jpg,3.3634388
4738960229.jpg,2.2929177
8510093470.jpg,3.4748602
8053452721.jpg,2.6622798
8688105270.jpg,3.4925046
322245825.jpg,2.7916498
3992677101.jpg,2.4999774
6239374380.jpg,3.6968489
6093133362.jpg,3.420251
4114019902.jpg,3.4296339
10186832194.jpg,3.2429187
9489836089.jpg,3.378146
10730634575.jpg,2.7302399
161483962.jpg,3.1032038
4535544675.jpg,3.7509456
7678821440.jpg,3.5226796
6000772290.jpg,3.5829113
7262954956.jpg,3.7338634
7714653298.jpg,2.587709
4281546585.jpg,3.4649215
357641600.jpg,1.844579
2063421762.jpg,2.2318416
4207059536.jpg,2.9798815
4331601397.jpg,3.372764
6166445475.jpg,2.7209213
5270848965.jpg,3.5486393
9407500995.jpg,3.6413538
6621080809.jpg,2.797346
2852488757.jpg,3.5659142
5399186343.jpg,3.1129262
4953733701.jpg,3.724408
8442848364.jpg,3.4372559
11446005074.jpg,3.4608603
9534283737.jpg,3.5443
1240561841.jpg,2.9398172
8456262039.jpg,2.588678
8639628841.jpg,3.2238078
6273772448.jpg,3.6147165
3308768118.jpg,3.6332717
6095610288.jpg,2.4324048
2562592972.jpg,2.3995948
6092350487.jpg,3.4632545
4629048299.jpg,2.0903456
8116678978.jpg,3.4219735
7109803877.jpg,3.5780175
3574423584.jpg,3.5486739
4074943155.jpg,3.184671
6153987026.jpg,3.769295
10539008983.jpg,3.3230417
2799264783.jpg,3.5782764
10336689775.jpg,3.168694
9660068454.jpg,2.9539344
4941076531.jpg,3.4225395
6812098169.jpg,3.5796049
2889093136.jpg,3.2488337
2065722620.jpg,3.5624757
81792355027.jpg,3.1788433
4538412115.jpg,1.6716704
9712191760.jpg,3.3160007
6809286909.jpg,1.913282
6483140329.jpg,2.0790477
10882856833.jpg,3.1595602
9333294037.jpg,3.3133986
4966132108.jpg,2.715705
7802695886.jpg,3.7080524
9535859777.jpg,3.1477158
5716274912.jpg,3.3983576
9076672562.jpg,3.0714157
8444615248.jpg,3.5564625
9859562873.jpg,2.8255463
6293629106.jpg,2.5538616
289462174.jpg,1.9498361
