image_name,MOS_predicted_score
5275524338.jpg,3.4872944
10283619534.jpg,3.5564606
6222668667.jpg,3.4636848
8253601805.jpg,3.1944191
8709304294.jpg,2.2364943
5036806312.jpg,2.3072836
4231049527.jpg,2.8276935
9198779264.jpg,2.5509484
3347823880.jpg,3.320129
9021392547.jpg,2.7346551
10602786066.jpg,2.0813794
8403312891.jpg,2.6025116
2815247737.jpg,2.6611528
2215981576.jpg,2.9790933
3025565947.jpg,3.3719642
8529490962.jpg,3.2580278
6743243667.jpg,3.6605403
6800703361.jpg,3.420873
4770124841.jpg,3.2591114
58449294.jpg,2.9266038
1565882132.jpg,2.5201592
3166870228.jpg,2.0142775
8418843841.jpg,3.288846
7989520325.jpg,3.0944126
7337709978.jpg,2.9265316
2725531293.jpg,2.8937058
3736418288.jpg,2.8047276
3597199001.jpg,3.440793
4141916319.jpg,3.43039
6873701210.jpg,3.363332
5022993325.jpg,3.5543187
8115433304.jpg,2.7888165
2317296071.jpg,2.3870971
6063249330.jpg,3.1140285
5886709832.jpg,3.3048358
8179500414.jpg,3.6362505
5250708423.jpg,2.4124687
9528230846.jpg,3.5671132
10628497685.jpg,3.0695972
8100293037.jpg,3.342413
10619909515.jpg,3.2586045
8275793121.jpg,3.1391587
5583866722.jpg,2.4906049
3022463774.jpg,3.3436143
5069309990.jpg,1.928198
10728525673.jpg,3.2884521
8693865711.jpg,3.675307
7676832810.jpg,3.1170425
9336450850.jpg,3.8972445
6443379565.jpg,3.718349
9712051180.jpg,3.2556403
10463583515.jpg,3.6297696
9805144264.jpg,2.7904673
6407770545.jpg,3.4871366
7316131560.jpg,3.5335546
5949374499.jpg,3.8511972
6408708033.jpg,2.613777
7276446104.jpg,3.6547966
6106478357.jpg,2.9642527
5025588176.jpg,3.380514
2618038580.jpg,2.1348197
516771790.jpg,1.9065008
7013076503.jpg,3.2559333
7749694370.jpg,3.4989462
8299281180.jpg,3.53028
5763573511.jpg,2.6831846
5051600612.jpg,3.3458202
5786557550.jpg,3.2078366
316618516.jpg,2.2654452
503291895.jpg,3.3672514
5228772358.jpg,3.3699238
3932630945.jpg,3.3032413
11054638863.jpg,2.9918108
8660939599.jpg,3.598921
8948115296.jpg,2.897282
3485554199.jpg,2.605239
4499122119.jpg,2.0586112
5142063764.jpg,2.5699432
2952066894.jpg,3.0612597
5457535055.jpg,3.2883165
4941443673.jpg,3.4211214
4706726398.jpg,2.741471
11378848184.jpg,2.9426072
5359274053.jpg,2.0447755
2593384818.jpg,2.2613695
5835525141.jpg,3.470487
6849557935.jpg,1.7842567
4947572555.jpg,3.4367769
3073780494.jpg,2.8142972
4130373740.jpg,2.8929195
6396984107.jpg,3.3336017
6173003449.jpg,3.4633555
5569876905.jpg,2.525294
7413044200.jpg,3.7851396
4781142781.jpg,3.2864904
3779311128.jpg,3.1376972
11260385706.jpg,3.5501883
333145920.jpg,3.4230802
7202630536.jpg,3.4095633
3761272199.jpg,3.2291124
2365109175.jpg,2.9606488
5478338919.jpg,3.6096976
8401142586.jpg,3.3707235
6194409059.jpg,3.9243402
2199234449.jpg,2.5898726
7640299878.jpg,3.233184
7772663024.jpg,3.2078831
5842712003.jpg,3.5688922
4857542718.jpg,3.6418054
9331151234.jpg,3.5343547
10207172624.jpg,3.386801
10849117054.jpg,2.877971
9710823281.jpg,2.9472432
8174015928.jpg,2.5689733
3673357278.jpg,3.459617
10961758274.jpg,3.5072846
4805041131.jpg,2.9212594
3475877294.jpg,2.1765032
6555285779.jpg,2.8793995
8468743988.jpg,3.482565
5630751358.jpg,3.8314562
9802094923.jpg,1.7779833
5540702638.jpg,3.3027828
8270913623.jpg,3.1768034
8428991513.jpg,2.3641677
8630845484.jpg,2.659256
4278181256.jpg,2.7599645
7819666996.jpg,3.6351628
6015806731.jpg,3.4681044
4407839974.jpg,3.258877
1562015932.jpg,2.8545883
356525836.jpg,3.5045245
9216910965.jpg,3.370835
6026326925.jpg,3.291294
7793934458.jpg,3.2786164
4883254364.jpg,3.5953028
5847946773.jpg,2.646485
198187235.jpg,2.5694938
9686480737.jpg,2.0399704
4732322374.jpg,3.7578433
8941443262.jpg,3.2302766
6071037995.jpg,2.1949139
9109271301.jpg,3.4688654
7399670298.jpg,2.556747
6708577729.jpg,3.4353685
9496541245.jpg,3.4117205
3993808694.jpg,2.449474
8021464988.jpg,3.5123475
143899204.jpg,2.813058
7186783534.jpg,3.002337
6641523883.jpg,3.3546534
3742811862.jpg,2.4472392
3248930020.jpg,3.102887
8999325582.jpg,3.581575
8532727626.jpg,3.3104804
8608242752.jpg,3.6651764
3847965007.jpg,2.7388942
8641533130.jpg,3.0929635
8137649050.jpg,3.4299748
6843523713.jpg,3.0732734
9472868070.jpg,3.1367102
8376951271.jpg,3.480023
9596892460.jpg,3.6937158
11219420725.jpg,3.567695
411787882.jpg,3.140796
4770545465.jpg,3.5202124
3825250471.jpg,3.6933856
9941646054.jpg,2.826373
4595899816.jpg,3.5844994
9692018769.jpg,2.4924166
1572596360.jpg,2.963537
6493347009.jpg,3.3379514
6018448805.jpg,2.5044956
2643679552.jpg,3.5537212
9618361879.jpg,3.6011066
7057320569.jpg,3.3466673
356523006.jpg,3.2934415
8203037764.jpg,3.1413488
7316593310.jpg,3.6175458
8600750192.jpg,1.9634666
6568691361.jpg,3.3123455
4655744443.jpg,3.430474
3688594216.jpg,3.0123694
5879690252.jpg,3.215907
6080905239.jpg,3.7291012
8530273249.jpg,2.9199803
9221345159.jpg,3.195773
5466371904.jpg,3.9705067
7192279956.jpg,3.2820268
7131604965.jpg,3.0652924
4373225530.jpg,3.307343
10517436165.jpg,2.406032
8130745750.jpg,2.8824291
5780360656.jpg,3.5057302
2992631389.jpg,3.0263045
3230042702.jpg,3.223473
10397166423.jpg,3.392758
2800092805.jpg,2.5961096
5804399322.jpg,3.572788
4995119944.jpg,3.3194232
5675336678.jpg,3.3801816
3146477274.jpg,2.7662046
18438855.jpg,3.605038
4738960229.jpg,2.2115474
8510093470.jpg,3.525218
8053452721.jpg,2.5536456
8688105270.jpg,3.5875492
322245825.jpg,2.628517
3992677101.jpg,2.0104818
6239374380.jpg,3.6980247
6093133362.jpg,3.1622896
4114019902.jpg,3.3011408
10186832194.jpg,3.2800183
9489836089.jpg,3.2231748
10730634575.jpg,2.9175463
161483962.jpg,3.017314
4535544675.jpg,3.7099435
7678821440.jpg,3.485262
6000772290.jpg,3.389007
7262954956.jpg,3.7368855
7714653298.jpg,2.6875904
4281546585.jpg,3.2239084
357641600.jpg,1.8178858
2063421762.jpg,2.3890963
4207059536.jpg,2.9396975
4331601397.jpg,3.3211617
6166445475.jpg,2.7806323
5270848965.jpg,3.4961767
9407500995.jpg,3.476854
6621080809.jpg,2.921592
2852488757.jpg,3.528394
5399186343.jpg,3.1458814
4953733701.jpg,3.8216205
8442848364.jpg,3.357195
11446005074.jpg,3.5380273
9534283737.jpg,3.557525
1240561841.jpg,3.0916686
8456262039.jpg,2.6008356
8639628841.jpg,3.3171568
6273772448.jpg,3.8586595
3308768118.jpg,3.6190672
6095610288.jpg,2.246384
2562592972.jpg,2.3616354
6092350487.jpg,3.4482028
4629048299.jpg,2.007843
8116678978.jpg,3.2749538
7109803877.jpg,3.6995685
3574423584.jpg,3.4835002
4074943155.jpg,3.0553782
6153987026.jpg,3.6860535
10539008983.jpg,3.393443
2799264783.jpg,3.5023992
10336689775.jpg,3.1196792
9660068454.jpg,3.222979
4941076531.jpg,3.417456
6812098169.jpg,3.6826658
2889093136.jpg,3.1507041
2065722620.jpg,3.5995402
81792355027.jpg,3.3982265
4538412115.jpg,1.8044672
9712191760.jpg,3.1073601
6809286909.jpg,1.9922326
6483140329.jpg,2.2461684
10882856833.jpg,3.1724489
9333294037.jpg,3.2937098
4966132108.jpg,2.9862146
7802695886.jpg,3.7881753
9535859777.jpg,3.2824404
5716274912.jpg,3.3351374
9076672562.jpg,3.1862044
8444615248.jpg,3.405415
9859562873.jpg,3.011377
6293629106.jpg,2.467695
289462174.jpg,2.1460197
3715780832.jpg,3.2036066
7676074992.jpg,3.3073263
5984121563.jpg,1.773763
375446021.jpg,3.117039
5240740919.jpg,3.0241928
9038497618.jpg,3.1867273
4195632386.jpg,2.485664
220465405.jpg,3.477331
6937167103.jpg,3.9261467
6190643783.jpg,3.6041558
9002438378.jpg,3.4466128
3588199753.jpg,3.5905478
8106933398.jpg,3.5007815
9136502604.jpg,3.4014997
10866561184.jpg,3.2504022
485174290.jpg,3.232131
6786638173.jpg,3.3426068
9657446583.jpg,3.2309213
10737029565.jpg,3.0789387
3705698114.jpg,2.9541986
8125828960.jpg,2.9045818
10819329365.jpg,3.2119899
155365010.jpg,1.9510148
4969822064.jpg,2.98314
9541618071.jpg,2.435711
5434458853.jpg,3.1814182
11054039594.jpg,2.5623436
10059344614.jpg,3.4213374
8510431014.jpg,3.0767443
3943080167.jpg,2.079726
4614592470.jpg,2.357176
11051749575.jpg,3.3322139
7303073674.jpg,3.6603663
3326988489.jpg,3.164687
11325081573.jpg,2.7809818
935105924.jpg,2.942791
6079223986.jpg,3.048054
2808286292.jpg,3.6131222
3935177366.jpg,1.8853748
8218123958.jpg,2.4674203
3015139450.jpg,2.7756567
4598047073.jpg,3.0621216
6434043361.jpg,3.2985249
10475658035.jpg,3.85453
11018079835.jpg,3.452991
5258646457.jpg,3.4522538
90308985937.jpg,3.3413894
7731352704.jpg,3.5007753
5496213154.jpg,3.6641865
8307817608.jpg,2.3115606
7657349694.jpg,2.8452752
8113498731.jpg,3.47639
7785223076.jpg,1.5372901
7763162224.jpg,2.8855257
8570770544.jpg,3.4160483
6211550250.jpg,2.7917287
10491358066.jpg,3.3444362
7866144530.jpg,3.5503507
4777807371.jpg,3.2585912
10388184626.jpg,3.6226923
8670498239.jpg,3.5590405
5656494008.jpg,3.5168078
2957895882.jpg,2.609909
2539083530.jpg,2.9710543
7433488844.jpg,2.6865747
9083308350.jpg,2.7720153
6016351794.jpg,3.296793
8724954192.jpg,2.9440668
6059676315.jpg,3.4118526
6075825527.jpg,3.4229758
6961079357.jpg,2.9924357
1315889745.jpg,2.059965
8474594407.jpg,3.0177138
7731030916.jpg,2.5761194
6533123895.jpg,3.530139
2237789639.jpg,2.0748415
3636701462.jpg,3.6665285
4739558783.jpg,3.1135464
7376214050.jpg,2.660321
4824776407.jpg,3.4065604
7590781464.jpg,3.397796
5786468844.jpg,3.6741254
6938815179.jpg,3.2624235
6210021795.jpg,2.9572432
2580674935.jpg,3.0157282
8010819148.jpg,3.342972
4539089246.jpg,3.29514
8463190672.jpg,3.2527819
4063780436.jpg,3.120211
8997198808.jpg,3.2708504
4631127472.jpg,2.6228585
10819132874.jpg,3.4220204
3667890322.jpg,3.1534314
6452060589.jpg,3.081237
11546100824.jpg,3.3846283
56753366787.jpg,3.2362168
6071930227.jpg,2.032938
362016009.jpg,2.7405865
4286953087.jpg,2.365712
7113461019.jpg,2.879083
4988320464.jpg,3.5122602
8266648992.jpg,3.532863
9618367899.jpg,3.6046011
1990510796.jpg,3.2671368
2745252477.jpg,3.4598475
6846869922.jpg,3.224987
