image_name,MOS_predicted_score
5275524338.jpg,3.8134255
10283619534.jpg,4.847261
6222668667.jpg,3.4818244
8253601805.jpg,3.7703826
8709304294.jpg,2.7959132
5036806312.jpg,3.6777587
4231049527.jpg,3.120474
9198779264.jpg,3.7861595
3347823880.jpg,3.9706504
9021392547.jpg,2.7853663
10602786066.jpg,2.695992
8403312891.jpg,3.5454302
2815247737.jpg,3.4135652
2215981576.jpg,3.0764027
3025565947.jpg,3.2116406
8529490962.jpg,3.8847537
6743243667.jpg,3.9821355
6800703361.jpg,4.601176
4770124841.jpg,4.4705095
58449294.jpg,3.4382908
1565882132.jpg,3.1178725
3166870228.jpg,2.8422315
8418843841.jpg,3.7303152
7989520325.jpg,4.095626
7337709978.jpg,3.7580245
2725531293.jpg,3.238139
3736418288.jpg,3.5137658
3597199001.jpg,3.6136048
4141916319.jpg,4.766228
6873701210.jpg,3.9240413
5022993325.jpg,3.9926572
8115433304.jpg,4.094924
2317296071.jpg,3.2294984
6063249330.jpg,4.3510447
5886709832.jpg,2.9894583
8179500414.jpg,3.4582438
5250708423.jpg,3.0484061
9528230846.jpg,3.3884897
10628497685.jpg,4.22474
8100293037.jpg,3.6494987
10619909515.jpg,3.6962156
8275793121.jpg,4.7219024
5583866722.jpg,2.7698224
3022463774.jpg,3.3011322
5069309990.jpg,3.1371973
10728525673.jpg,4.11932
8693865711.jpg,3.3632438
7676832810.jpg,2.6636426
9336450850.jpg,3.9255798
6443379565.jpg,3.1595914
9712051180.jpg,3.5072057
10463583515.jpg,4.12008
9805144264.jpg,4.358601
6407770545.jpg,3.6166842
7316131560.jpg,3.7297728
5949374499.jpg,4.022329
6408708033.jpg,3.380172
7276446104.jpg,3.5234568
6106478357.jpg,3.5785635
5025588176.jpg,3.8229346
2618038580.jpg,2.5268683
516771790.jpg,2.795951
7013076503.jpg,2.9734416
7749694370.jpg,3.7369087
8299281180.jpg,3.9453852
5763573511.jpg,3.7772772
5051600612.jpg,3.362664
5786557550.jpg,3.5862439
316618516.jpg,2.5435355
503291895.jpg,3.991418
5228772358.jpg,3.7603693
3932630945.jpg,3.2932389
11054638863.jpg,2.8924394
8660939599.jpg,3.6681283
8948115296.jpg,3.634759
3485554199.jpg,3.2968667
4499122119.jpg,3.3719897
5142063764.jpg,2.6520927
2952066894.jpg,4.3689084
5457535055.jpg,3.4323056
4941443673.jpg,3.3455637
4706726398.jpg,2.9008844
11378848184.jpg,3.8817968
5359274053.jpg,3.3420825
2593384818.jpg,3.2362885
5835525141.jpg,2.8371887
6849557935.jpg,3.01951
4947572555.jpg,4.7624526
3073780494.jpg,4.3040547
4130373740.jpg,3.1048558
6396984107.jpg,3.3830686
6173003449.jpg,3.1075547
