image_name,MOS_predicted_score
10004473376.jpg,3.402511
10007357496.jpg,3.3444803
10007903636.jpg,3.7758055
10009096245.jpg,3.3309596
100117038.jpg,3.7375274
10012398043.jpg,3.2467642
10013822223.jpg,3.2798598
10014002683.jpg,3.5052602
10017119924.jpg,3.5778058
10020766793.jpg,3.8715715
10020891105.jpg,3.1011257
10022757465.jpg,3.687706
10022844623.jpg,3.276073
10027545463.jpg,3.6598127
10027582235.jpg,3.6426394
10029841663.jpg,3.4900205
10031298826.jpg,2.9355087
10031913154.jpg,3.432753
10039534103.jpg,3.376473
10041870415.jpg,3.4935763
10043785683.jpg,3.6121774
10047832035.jpg,3.286295
10048365153.jpg,3.2495325
10050349236.jpg,2.1359708
10058760545.jpg,1.7794521
10059344614.jpg,3.4412203
10061596254.jpg,3.2862077
10067457634.jpg,3.8428445
10068507976.jpg,3.1908987
10068778516.jpg,3.5884843
10069534975.jpg,3.4590042
10071864114.jpg,3.297987
10075168775.jpg,3.68678
10077468576.jpg,3.2721963
10077880165.jpg,2.314975
10079711433.jpg,3.048387
10082923485.jpg,2.550411
10086300493.jpg,3.5218897
100882570.jpg,3.4199924
10089027076.jpg,1.6815833
10089177336.jpg,3.685188
10091520555.jpg,2.4516041
10093057603.jpg,3.2968988
10094235786.jpg,3.1234155
10110458216.jpg,3.2631369
10111411235.jpg,1.8198562
10113730664.jpg,3.3185291
10115071674.jpg,3.5074458
10118773964.jpg,2.7991297
10121813934.jpg,3.229131
10125013364.jpg,2.0849965
10126177964.jpg,3.0994053
10126857344.jpg,3.587037
10130566006.jpg,3.6207402
10131980434.jpg,2.9817953
10133867305.jpg,2.9606175
10134737015.jpg,2.7731671
10140071304.jpg,2.9386244
1014369849.jpg,2.6708443
10147970884.jpg,3.5577586
101484668.jpg,1.9968691
10153847086.jpg,3.163854
10154367094.jpg,3.44716
10154991453.jpg,3.5481381
10155925686.jpg,2.7797844
101601008.jpg,3.4381912
10164654253.jpg,2.9915397
10164842933.jpg,3.7385025
10169304416.jpg,3.9456813
10173544123.jpg,3.2445648
1017647143.jpg,3.5640225
10177270623.jpg,3.3373077
10177793964.jpg,3.327694
10178112894.jpg,2.807195
10178183416.jpg,3.618651
10178914656.jpg,3.5130062
10183769356.jpg,3.40797
10186643874.jpg,2.8720913
10186680555.jpg,3.117731
10186832194.jpg,3.457629
10187102065.jpg,2.3837628
10187522803.jpg,3.413333
10191607755.jpg,3.7726538
10196228605.jpg,3.485991
10203647273.jpg,3.6522274
10205220286.jpg,1.9801654
10206674394.jpg,3.740285
10207172624.jpg,3.5507731
10209014225.jpg,3.3044689
10209917915.jpg,2.6781461
10211880874.jpg,2.2688854
10213881683.jpg,2.2612462
10218118033.jpg,3.262068
10221144393.jpg,1.7791274
10224586444.jpg,2.5039608
10226277514.jpg,2.6106064
10226524916.jpg,1.7386808
10227210045.jpg,3.335048
10241630856.jpg,3.2644894
10241895785.jpg,3.5358398
10244314384.jpg,2.938887
10244715656.jpg,2.895023
10246311914.jpg,3.526949
10246318724.jpg,3.6278975
10258169584.jpg,3.1949468
10260190424.jpg,3.2600245
1026198859.jpg,3.643743
10262588616.jpg,3.2314353
10264804094.jpg,3.6788538
10264984793.jpg,3.3966055
10265315316.jpg,3.6255336
10265809113.jpg,3.5375335
10273804555.jpg,3.5089815
10278246465.jpg,3.4767313
1027833701.jpg,3.0626621
10279904885.jpg,2.5517688
10280683815.jpg,3.6433733
10280835505.jpg,2.1581156
102825508.jpg,2.4669998
10283619534.jpg,3.6950974
10287677265.jpg,3.3830447
10289468185.jpg,3.5193658
10290759976.jpg,3.748335
1029470257.jpg,2.7147994
10295875445.jpg,3.0098093
10296038236.jpg,2.5478716
10299438733.jpg,3.0180793
102995966.jpg,1.6405151
10316734944.jpg,3.24768
10319186405.jpg,2.581352
10319713194.jpg,1.157846
