image_name,brisque_transformed_mos,niqe_transformed_mos,MOS
10004473376.jpg,4.6116,4.6915,3.8286
10007357496.jpg,4.1823,4.4886,3.4792
10009096245.jpg,3.9094,4.0308,3.9266
100117038.jpg,4.9067,4.624,3.83
10012398043.jpg,4.3929,3.9897,3.3398
10013822223.jpg,2.8342,4.1269,3.5818
10014002683.jpg,3.356,3.9055,3.4811
10017119924.jpg,4.5659,4.5427,3.4234
10020766793.jpg,4.4033,4.6097,4.0826
10020891105.jpg,4.8618,3.9783,3.1373
10022757465.jpg,3.3046,4.3346,3.6762
10022844623.jpg,4.6768,4.5544,3.2843
10027545463.jpg,3.9657,4.2953,3.7451
10027582235.jpg,4.6,3.9544,3.8224
10029841663.jpg,4.1605,4.2972,3.4627
10031298826.jpg,4.6997,4.6423,2.877
10031913154.jpg,4.3152,4.1763,3.4851
10039534103.jpg,2.8645,4.2965,3.6916
10041870415.jpg,4.7264,4.1077,3.4519
10043785683.jpg,4.6348,3.9963,3.566
10047832035.jpg,4.246,4.5755,3.6535
10048365153.jpg,4.1397,4.4963,3.0792
10050349236.jpg,3.5354,4.3702,2.2059
10058760545.jpg,4.0712,2.838,1.62
10059344614.jpg,4.2721,4.4679,3.5
10061596254.jpg,4.2034,3.846,3.1589
10067457634.jpg,4.3119,4.5345,3.9266
10068507976.jpg,4.7725,3.868,3.1
10068778516.jpg,3.8607,4.4918,3.6842
10069534975.jpg,4.7696,4.6724,3.6759
10071864114.jpg,3.8857,3.7371,3.7411
10075168775.jpg,3.047,4.6123,3.7228
10077468576.jpg,4.6318,4.3924,3.6604
10077880165.jpg,3.4956,1.3622,2.1944
10079711433.jpg,3.8169,4.4072,3.1288
10082923485.jpg,4.2568,4.2403,2.9519
10086300493.jpg,4.8605,4.5825,3.5146
100882570.jpg,4.4636,4.7183,3.4141
10089027076.jpg,3.7203,2.6996,1.8704
10089177336.jpg,4.8232,4.7418,3.7327
10091520555.jpg,3.9132,3.7606,2.3019
10093057603.jpg,3.5269,4.291,3.3824
10094235786.jpg,4.1181,4.4638,3.27
10110458216.jpg,4.2488,4.5308,3.37
10111411235.jpg,3.6547,3.7788,1.6991
10113730664.jpg,4.173,4.037,3.4729
10115071674.jpg,4.3694,4.4937,3.7339
10118773964.jpg,4.1622,4.4537,3.0396
10121813934.jpg,4.5027,4.3205,3.3524
10125013364.jpg,4.1731,4.4353,2.1908
10126177964.jpg,1.9817,4.0367,3.5963
10126857344.jpg,4.8755,4.3896,3.5175
10130566006.jpg,3.7441,4.7641,3.6887
10131980434.jpg,2.734,4.1552,3.1926
10133867305.jpg,4.332,4.313,3.1905
10134737015.jpg,3.2265,4.1329,3.0093
10140071304.jpg,2.7652,4.0211,3.2718
10147970884.jpg,4.0281,4.1919,3.8108
10153847086.jpg,3.8804,4.7346,3.1651
10154367094.jpg,3.6162,4.0304,3.5812
10154991453.jpg,4.5522,4.895,3.5714
101601008.jpg,4.2749,4.6657,3.32
10164654253.jpg,4.2429,3.4816,2.97
10164842933.jpg,4.494,4.0959,3.8319
10169304416.jpg,4.816,4.7367,3.9714
10173544123.jpg,4.2043,4.1974,3.3435
10177270623.jpg,4.0699,3.9635,3.3039
10177793964.jpg,4.7596,4.3125,3.4021
10178112894.jpg,4.6289,4.6125,2.5377
10178914656.jpg,4.1752,4.6697,3.5094
10183769356.jpg,3.4649,4.4527,3.6
10186643874.jpg,4.3012,4.1279,2.881
10186680555.jpg,3.9186,3.4476,3.0673
10186832194.jpg,3.3656,4.158,3.198
10187102065.jpg,4.3427,4.0227,2.4393
10187522803.jpg,3.8234,4.4554,3.5
10191607755.jpg,3.6234,4.5499,4.0
10196228605.jpg,4.6572,4.7748,3.3333
10203647273.jpg,4.6373,4.4812,3.7196
10205220286.jpg,3.4874,3.8797,2.1038
10207172624.jpg,4.8561,4.5415,3.4059
10209014225.jpg,3.7965,4.6322,3.3654
10209917915.jpg,3.2898,3.9244,2.7549
10211880874.jpg,3.453,4.239,2.3084
10213881683.jpg,3.5786,4.1557,2.375
