image_name,brisque,MOS_zscore_transformed_to_brisque_scale,niqe_transformed_to_brisque_scale
10004473376.jpg,9.71,22.6164,7.7119
10007357496.jpg,20.4422,31.2714,12.785
10009096245.jpg,27.2645,22.7562,24.2306
100117038.jpg,2.3317,24.8875,9.401
10012398043.jpg,15.1773,34.8505,25.2581
10013822223.jpg,54.1448,31.6937,21.8282
10014002683.jpg,41.0989,35.2373,27.3617
10017119924.jpg,10.8537,33.7756,11.4335
10020766793.jpg,14.9165,18.4938,9.7582
10020891105.jpg,3.455,43.1703,25.5432
10022757465.jpg,42.3859,28.9845,16.6359
10022844623.jpg,8.0802,39.075,11.1394
10027545463.jpg,25.8581,27.172,17.6166
10027582235.jpg,10.0008,22.8623,26.1408
10029841663.jpg,20.988,29.875,17.5711
10031298826.jpg,7.5076,49.4318,8.9417
10031913154.jpg,17.1203,29.5,20.5915
10039534103.jpg,53.3872,23.925,17.5863
10041870415.jpg,6.8388,33.5789,22.3075
10043785683.jpg,9.1305,28.7957,25.0928
10047832035.jpg,18.8506,28.2,10.6134
10048365153.jpg,21.5079,41.9071,12.5923
10050349236.jpg,36.6154,69.0582,15.7458
10058760545.jpg,23.2196,84.7706,54.0493
10059344614.jpg,18.1984,31.3349,13.3014
10061596254.jpg,19.9153,40.3581,28.85
10067457634.jpg,17.2017,21.5609,11.6384
10068507976.jpg,5.688,42.3451,28.3009
10068778516.jpg,28.4826,28.1217,12.705
10069534975.jpg,5.761,26.2778,8.1911
10071864114.jpg,27.8584,28.0909,31.5726
10075168775.jpg,48.8239,25.2214,9.6936
10077468576.jpg,9.2038,26.1848,15.19
10077880165.jpg,37.6108,68.7743,90.9439
10079711433.jpg,29.5766,40.9375,14.8198
10082923485.jpg,18.5799,46.7739,18.9928
10086300493.jpg,3.488,31.6974,10.4387
100882570.jpg,13.4099,34.5252,7.0436
10089027076.jpg,31.9915,76.9214,57.5093
10089177336.jpg,4.419,27.0541,6.4539
10091520555.jpg,27.1692,66.3556,30.9849
10093057603.jpg,36.8277,36.5044,17.7254
10094235786.jpg,22.0483,37.844,13.4039
10110458216.jpg,18.7802,35.2706,11.7295
10111411235.jpg,33.6313,81.5294,30.5304
10113730664.jpg,20.6756,31.1875,24.0743
10115071674.jpg,15.7652,27.225,12.6584
10118773964.jpg,20.9449,46.9266,13.6586
10121813934.jpg,12.4319,34.6019,16.9876
10125013364.jpg,20.6723,68.7288,14.1183
10126177964.jpg,75.4565,29.0921,24.0836
10126857344.jpg,3.1125,31.2668,15.2588
10130566006.jpg,31.3978,28.05,5.8979
10131980434.jpg,56.6509,38.972,21.1192
10133867305.jpg,16.6994,41.8393,17.1744
10134737015.jpg,44.3367,45.4097,21.6772
10140071304.jpg,55.8692,37.4423,24.473
10147970884.jpg,24.2986,23.1438,20.2032
10153847086.jpg,27.9912,40.7688,6.636
10154367094.jpg,34.5945,25.8879,24.2399
10154991453.jpg,11.1948,25.8145,2.6244
