Image Name,MOS Score,Computation Time
10004473376.jpg,4.430439013287115,0.0324 s
10007357496.jpg,4.533021982603058,0.0190 s
10007903636.jpg,4.913805269194501,0.0190 s
10009096245.jpg,4.937219394359738,0.0183 s
100117038.jpg,4.875397921273694,0.0180 s
10012398043.jpg,4.884769591053651,0.0190 s
10013822223.jpg,4.970964321859149,0.0188 s
10014002683.jpg,4.955982526157335,0.0182 s
10017119924.jpg,4.575098337229772,0.0192 s
10020766793.jpg,4.644441927458163,0.0194 s
10020891105.jpg,4.8132227296501595,0.0194 s
10022757465.jpg,4.995566420950326,0.0204 s
10022844623.jpg,4.840693861220064,0.0250 s
10027545463.jpg,4.925918032417586,0.0250 s
10027582235.jpg,4.867846676135883,0.0223 s
10029841663.jpg,4.859674407335626,0.0200 s
10031298826.jpg,4.84924270266533,0.0200 s
10031913154.jpg,4.567562701737683,0.0180 s
10039534103.jpg,4.97518048659086,0.0170 s
10041870415.jpg,4.720101959961263,0.0183 s
10043785683.jpg,4.321843363269556,0.0183 s
10047832035.jpg,4.897534597230626,0.0196 s
10048365153.jpg,4.780681385722409,0.0203 s
10050349236.jpg,4.953606578305455,0.0229 s
10058760545.jpg,4.907748887582959,0.0219 s
10059344614.jpg,4.837376481755668,0.0229 s
10061596254.jpg,4.939059611239569,0.0181 s
10067457634.jpg,4.8292915969417916,0.0179 s
10068507976.jpg,4.86584730092901,0.0193 s
10068778516.jpg,4.536137557395212,0.0186 s
10069534975.jpg,4.559522554564989,0.0182 s
10071864114.jpg,4.94327577597128,0.0173 s
10075168775.jpg,4.996160407913294,0.0210 s
10077468576.jpg,4.886768966260525,0.0239 s
10077880165.jpg,4.847561644112539,0.0242 s
10079711433.jpg,4.959445545599033,0.0220 s
10082923485.jpg,4.890173729711301,0.0211 s
10086300493.jpg,4.167447257897147,0.0182 s
100882570.jpg,4.740177382489504,0.0180 s
10089027076.jpg,4.925324045454616,0.0190 s
10089177336.jpg,4.919267663843073,0.0175 s
10091520555.jpg,4.94268178900831,0.0172 s
10093057603.jpg,4.950578387499684,0.0182 s
10094235786.jpg,4.263117349213365,0.0230 s
10110458216.jpg,4.937060236032695,0.0230 s
10111411235.jpg,4.840317288575059,0.0230 s
10113730664.jpg,4.914240097830429,0.0210 s
10115071674.jpg,4.660856148103361,0.0192 s
10118773964.jpg,4.9618797494418345,0.0190 s
10121813934.jpg,4.550496238138594,0.0200 s
10125013364.jpg,4.9458691381411235,0.0180 s
10126177964.jpg,5.0,0.0180 s
10126857344.jpg,4.780681385722409,0.0185 s
10130566006.jpg,4.506436117950729,0.0232 s
10131980434.jpg,4.968530118016347,0.0220 s
10133867305.jpg,4.826799137108069,0.0234 s
10134737015.jpg,4.924411741837562,0.0214 s
10140071304.jpg,5.0,0.0180 s
1014369849.jpg,4.9741516709919615,0.0180 s
10147970884.jpg,4.771872483613981,0.0186 s
101484668.jpg,4.9495495719007865,0.0173 s
10153847086.jpg,4.828480195660857,0.0170 s
10154367094.jpg,4.940682413801437,0.0180 s
10154991453.jpg,4.628996175124961,0.0211 s
10155925686.jpg,4.919050249525111,0.0220 s
